,City,Max Temperature (F):,Humidity (%),Cloudiness (%),Wind Speed (mph),Latitude
59,Koshki,49.59,81,68,14.29,54.2
60,Shingu,65.88,70,80,5.12,33.72
61,Klaksvik,44.6,81,100,26.4,62.23
62,Constitucion,72.0,26,20,5.82,23.99
63,Cape Town,62.01,88,1,1.01,-33.93
64,Luba,71.13,83,96,5.53,17.32
65,Balkanabat,59.94,26,91,13.18,39.51
66,Punta Arenas,51.8,43,75,28.86,-53.16
67,Kavieng,83.57,68,19,3.0,-2.57
68,Chuy,69.94,59,0,8.08,-33.69
69,Bredasdorp,61.0,72,63,3.36,-34.53
70,Raudeberg,44.01,87,100,13.87,61.99
71,Velikiy Ustyug,38.86,75,47,10.11,60.76
72,Hobart,48.0,70,20,8.05,-42.88
73,Aitape,81.27,77,88,7.18,-3.15
74,New Norfolk,48.0,70,20,8.05,-42.78
75,Merauke,76.32,85,68,5.7,-8.49
76,Panaba,81.18,84,100,5.28,21.28
77,Adrar,73.4,20,100,6.93,27.87
78,Yerbogachen,18.45,84,100,13.78,61.28
79,Pasinler,39.2,60,0,5.44,39.98
80,Sugod,79.48,84,100,11.43,12.99
81,Dali,50.85,49,100,2.48,34.79
82,Riyadh,80.6,30,0,2.24,24.63
83,Vaini,67.62,97,96,5.7,15.34
84,Kahta,62.6,55,0,2.24,37.78
85,Sabang,78.01,87,15,4.74,13.8
86,Portland,57.99,44,40,6.93,43.66
87,Geraldton,55.4,49,20,17.22,49.72
88,Longyearbyen,24.8,85,75,10.29,78.22
89,Castro,53.6,66,75,12.75,-42.48
90,Waverly,75.99,64,40,9.17,37.04
91,Colac,48.0,98,85,5.01,-38.34
92,Mitu,47.86,69,44,2.53,36.2
93,Omsukchan,19.83,93,100,10.58,62.53
94,Port Lincoln,50.4,85,6,5.48,-34.72
95,Buraydah,78.8,54,20,5.82,26.33
96,Lorengau,83.34,68,30,4.14,-2.02
97,Kodiak,59.0,47,1,4.7,39.95
98,Chara,59.0,71,0,1.39,39.42
99,Port Elizabeth,64.99,63,40,6.93,39.31
100,Upernavik,26.47,65,74,9.82,72.79
101,Canatlan,72.0,26,20,5.82,24.52
102,Provideniya,29.52,97,100,21.43,64.42
103,Civitavecchia,66.0,93,0,2.24,42.09
104,Sistranda,44.01,86,40,8.05,63.73
105,Seymchan,27.36,95,100,3.0,62.93
106,Pau dos Ferros,83.26,56,60,13.82,-6.11
107,Lavrentiya,31.69,96,100,39.26,65.58
108,Norman Wells,24.8,92,75,2.24,65.28
109,Xiamen,71.6,68,50,6.71,24.46
110,Kahului,82.4,65,20,5.82,20.89
111,Lazaro Cardenas,75.99,22,5,7.87,28.39
112,Ilulissat,30.2,36,20,3.36,69.22
113,Barguzin,15.85,80,71,2.98,53.62
114,Macusani,43.27,71,43,10.92,-14.07
115,Ternovka,49.17,83,71,8.25,51.69
116,Brezice,53.01,100,0,2.24,45.9
117,Suntar,22.32,95,100,4.41,62.16
118,Tuktoyaktuk,23.0,85,75,21.92,69.44
119,Tasiilaq,26.6,73,40,8.05,65.61
120,Okha,43.0,94,100,20.18,53.59
121,Vanavara,15.24,89,100,10.85,60.35
122,Samaipata,76.42,51,0,10.67,-18.18
123,Soyo,76.98,89,69,4.07,-6.13
124,Maraba,93.2,56,40,6.93,-5.35
125,Khatanga,5.83,90,100,3.78,71.98
126,Luderitz,60.8,93,0,11.41,-26.65
127,Mikhaylovskoye,47.46,86,0,1.77,43.1
128,Sakaiminato,60.8,87,75,6.93,35.55
129,Price,68.0,23,1,4.7,39.6
130,Hithadhoo,82.08,77,99,13.53,-0.6
131,Hukuntsi,72.91,19,4,8.1,-23.98
132,Tevaitoa,79.32,72,0,11.79,-16.78
133,Deputatskiy,5.5,95,100,2.17,69.3
134,Lata,25.83,32,0,2.89,30.78
135,Flinders,59.0,50,0,10.29,-34.58
136,Bathsheba,86.0,66,40,12.75,13.22
137,Nago,62.01,93,0,3.36,45.88
138,Nanortalik,36.19,76,100,9.73,60.14
139,Lasa,69.8,77,20,8.05,34.92
140,Novobiryusinskiy,23.18,89,100,1.21,56.96
141,Belmonte,62.01,84,58,3.62,40.36
142,Namibe,71.35,69,46,4.5,-15.19
143,Thompson,33.8,96,90,13.87,55.74
144,Necochea,54.0,97,100,1.99,-38.55
145,Saint-Philippe,55.4,43,1,2.39,45.36
146,Seoul,44.6,100,1,1.12,37.57
147,Ati,89.31,41,97,3.65,13.21
148,Hofn,36.88,61,8,13.18,64.25
149,Ancud,53.6,66,75,12.75,-41.87
150,Carutapera,82.15,78,100,15.32,-1.2
151,Mercedes,74.62,76,17,9.01,-33.25
152,Dunda,49.08,62,0,5.03,30.62
153,Lebu,59.0,44,20,6.93,8.96
154,Puerto Cabezas,80.6,83,40,4.7,14.04
155,Bad Berleburg,62.6,55,90,24.16,51.05
156,Tocopilla,73.33,19,0,7.78,-22.09
157,Sinazongwe,84.61,42,0,5.93,-17.26
158,Ahipara,59.0,100,28,9.1,-35.17
159,Umm Lajj,72.64,49,0,5.53,25.02
160,Springfield,51.01,93,90,10.29,37.22
161,Gambela,71.56,94,14,3.44,8.25
162,Aleksandrov Gay,52.68,48,18,8.84,50.14
163,Pedernales,75.9,77,75,7.25,0.07
164,Aykhal,6.8,92,90,6.71,65.95
165,Russell,69.01,16,1,12.75,38.9
166,Tautira,84.2,62,20,14.99,-17.73
167,Kralendijk,87.8,66,40,16.11,12.15
168,San Marcos,89.6,59,40,6.93,14.97
169,Vestmannaeyjar,34.68,63,0,11.43,63.44
170,Kiunga,73.71,99,100,1.7,-6.12
171,Den Helder,63.0,100,75,28.86,52.96
172,Srednekolymsk,-5.95,91,62,3.6,67.46
173,Jumla,37.18,41,0,4.88,29.28
174,Vila Velha,86.0,62,29,13.87,-3.71
175,Ostrovnoy,26.44,74,100,10.09,68.05
176,Touros,84.2,58,40,13.87,-5.2
177,Gat,80.6,88,67,11.41,14.69
178,Bethel,41.0,86,90,16.11,60.79
179,Sitka,70.0,23,0,10.0,37.17
180,Cap Malheureux,73.4,88,20,6.93,-19.98
181,Prado,86.05,45,11,5.82,3.75
182,Kristiansund,41.0,69,20,11.41,63.12
183,Kavaratti,82.22,78,90,16.82,10.57
184,Yumen,37.18,32,0,22.21,40.29
185,Pevek,6.71,74,0,11.07,69.7
186,Poum,44.6,81,0,4.7,41.28
187,Newport,46.99,93,72,4.7,51.59
188,Nikolskoye,55.4,87,90,15.66,59.7
189,Khasan,33.46,66,0,3.76,42.43
190,San Quintin,71.13,83,96,5.53,17.54
191,Butaritari,83.62,75,100,10.22,3.07
192,Kirakira,79.07,85,32,6.91,-10.46
193,Fortuna,64.99,62,1,14.99,40.6
194,Saint George,59.0,71,0,1.48,39.45
195,Nagato,62.6,72,75,5.82,34.35
196,Creel,66.36,36,0,11.39,27.75
197,Mount Gambier,48.2,93,75,6.93,-37.83
198,Pocatello,46.4,33,40,28.86,42.87
199,Boo,73.18,86,86,2.91,7.44
200,Nipawin,32.0,76,90,21.92,53.36
201,Esperance,51.8,100,65,6.93,-33.86
202,Laguna,87.8,70,40,4.7,16.17
203,Tiksi,8.92,94,99,2.59,71.64
204,Kununurra,80.6,57,40,10.29,-15.77
205,Georgetown,87.8,70,20,11.41,6.8
206,Berlevag,32.38,56,100,9.42,70.86
207,Lagoa,68.0,77,30,3.36,37.14
208,Sandwick,46.99,93,0,13.87,54.57
209,Turtas,42.91,92,100,15.05,58.94
210,Robertson,53.6,49,0,10.29,-34.59
211,Piracanjuba,81.37,55,67,8.79,-17.3
212,Antofagasta,62.6,67,40,13.87,-23.65
213,Shamkhal,53.6,93,20,4.47,43.06
214,Abadan,71.6,83,75,24.16,30.36
215,Kuala Sungai Baru,75.2,94,20,3.65,2.36
216,Datong,36.21,43,0,7.02,40.09
217,Bonavista,44.01,86,100,15.21,48.65
218,Mgandu,63.03,63,0,7.14,-5.96
219,Kawhia,57.99,86,23,3.56,-38.07
220,Umm Kaddadah,82.71,17,90,12.75,13.6
221,Lima,68.0,64,40,9.17,-12.06
222,Isangel,71.6,68,20,15.9,-19.55
223,Alofi,75.2,83,100,12.75,-19.06
224,Pisco,71.6,30,20,10.29,-13.71
225,Hit,73.09,54,91,1.9,33.64
226,Mikumi,70.56,89,0,2.39,-7.4
227,Tynda,20.17,84,100,2.35,55.15
228,Severo-Kurilsk,34.84,89,100,13.71,50.68
229,Katsuura,62.6,82,75,9.17,33.93
230,Ponta do Sol,74.98,62,65,5.14,-20.63
231,Alekseyevsk,13.06,94,61,6.55,57.84
232,Aklavik,17.6,92,75,6.93,68.22
233,Grindavik,30.2,74,0,11.41,63.84
234,Tuatapere,61.0,68,76,5.01,-46.13
235,Abdulino,48.2,74,61,17.31,53.68
236,Fairbanks,32.0,86,75,3.02,64.84
237,Manadhoo,82.83,71,56,5.61,5.77
238,Kutum,76.05,26,13,9.71,14.2
239,Airai,65.17,58,25,2.93,-8.93
240,Udachnyy,6.8,92,90,6.71,66.42
241,Sola,72.81,50,21,6.17,-3.17
242,Mariinsk,21.94,93,90,7.38,56.21
243,Rivadavia,95.7,8,0,12.1,-31.53
244,Brae,46.4,87,93,13.87,60.4
245,Dalbandin,67.19,22,0,3.98,28.9
246,Vila Franca do Campo,66.2,88,40,6.93,37.72
247,Cotonou,80.6,88,40,8.05,6.37
248,Sciacca,64.4,82,20,3.36,37.51
249,Mombetsu,53.38,83,70,14.83,44.35
250,Te Anau,48.72,99,100,4.21,-45.41
251,Isla Mujeres,87.8,66,75,10.29,21.23
252,Tanabe,60.01,93,95,10.07,33.73
253,Covington,60.8,93,90,12.75,35.56
254,Cuamba,79.07,36,0,2.46,-14.8
255,Goderich,51.01,93,100,3.0,43.74
256,Jatai,72.05,41,0,1.48,28.97
257,Mahebourg,73.4,88,20,6.93,-20.41
258,Pacasmayo,66.65,71,8,15.32,-7.4
259,Atar,87.26,10,0,12.5,20.52
260,Marzuq,68.7,38,8,4.41,14.4
261,Lekoni,71.67,93,100,3.13,-1.58
262,Kieta,80.62,76,100,4.29,-6.22
263,Victoria,77.0,88,75,1.12,5.28
264,Nhulunbuy,75.2,94,88,3.36,-12.18
265,Bourges,59.0,77,81,4.7,47.08
266,Tateyama,59.0,90,100,1.28,36.66
267,Benguela,76.86,80,100,7.52,-12.58
268,Saint-Pierre,60.8,77,100,13.87,48.95
269,Lompoc,87.01,39,1,5.82,34.64
270,Hasaki,61.0,93,75,4.7,35.73
271,Iralaya,83.93,70,13,8.66,15.0
272,Christchurch,72.0,37,0,19.46,-43.53
273,Baykit,12.81,95,0,1.66,61.68
274,Nome,63.0,67,90,9.17,30.04
275,San Ramon,75.2,83,90,3.31,12.92
276,Weiser,51.01,44,0,14.0,44.25
277,Shwebo,73.8,94,23,5.19,22.57
278,Mungwi,71.92,42,41,6.98,-10.17
279,Santa Rosa,80.31,19,66,10.6,-36.62
280,Korem,53.47,48,53,3.94,12.51
281,Craig,62.6,29,1,6.93,40.52
282,Vulturesti,48.99,100,0,3.36,47.52
283,Bilma,79.43,21,1,6.13,18.69
284,Half Moon Bay,82.99,77,1,14.99,37.46
285,Souillac,63.0,87,100,4.7,45.6
286,Mujiayingzi,35.94,39,0,8.21,42.12
287,Kamaishi,54.18,88,100,5.48,39.28
288,Dakar,82.4,88,94,11.41,14.69
289,Ballina,46.0,80,0,15.01,54.11
290,Tezu,64.29,98,100,1.54,27.93
291,Beringovskiy,24.17,88,100,35.66,63.05
292,Nantucket,57.2,62,1,12.75,41.28
293,Verkhnyaya Inta,21.18,94,100,13.13,65.99
294,Singapore,77.0,94,75,2.24,1.29
295,Eyl,79.93,69,100,4.38,7.98
296,San Miguel,87.01,30,34,14.99,-34.54
297,Cayenne,89.6,55,0,8.05,4.94
298,Henties Bay,59.0,93,0,5.99,-22.12
299,Ust-Maya,9.19,96,43,2.62,60.42
300,Salaga,78.82,74,100,3.15,8.55
301,Hof,55.0,100,90,11.48,50.32
302,Acari,79.95,58,10,21.85,-6.44
303,Honiara,73.4,94,20,3.36,-9.43
304,Caucaia,86.0,62,29,13.87,-3.73
305,Palmer,57.99,58,75,10.29,-34.85
306,Talnakh,19.4,85,75,15.66,69.49
307,Laiyang,42.01,75,0,4.74,36.98
308,Nyimba,81.59,28,0,9.62,-14.56
309,Maceio,82.4,69,40,14.99,-9.67
310,Karratha,78.57,49,0,10.94,-20.74
311,Axim,76.59,88,100,4.83,4.87
312,Sterlibashevo,49.08,70,53,18.01,53.44
313,Arman,39.74,94,100,27.47,59.7
314,Sao Jose do Belmonte,86.5,36,93,13.42,-7.86
315,Port Hardy,48.2,87,20,9.17,50.7
316,Caravelas,75.45,81,100,9.98,-17.73
317,Haines Junction,23.9,94,50,5.3,60.75
318,Torbay,46.0,70,75,5.82,47.66
319,Naron,66.99,68,100,16.11,43.52
320,Esso,15.64,52,40,2.68,55.93
321,Inverell,57.99,54,0,3.38,-29.78
322,Shymkent,46.4,52,15,8.95,42.31
323,Faya,64.4,77,76,2.13,18.39
324,Katghora,68.16,86,76,3.94,22.51
325,Gisborne,72.39,36,0,1.12,-38.66
326,Beira,66.99,68,100,16.11,43.2
327,Inhapi,81.25,54,67,14.63,-9.22
328,Zhangye,37.89,28,2,2.75,38.94
329,Preobrazheniye,32.27,70,0,5.7,42.9
330,Kasongo,70.81,97,26,3.67,-4.43
331,Richards Bay,73.45,85,30,11.95,-28.77
332,Perigueux,61.0,93,100,5.82,45.18
333,Kyzyl-Suu,41.36,33,0,6.15,42.34
334,Grinnell,51.8,57,1,3.36,41.74
335,Marsa Matruh,71.6,73,40,8.05,31.35
336,Vanderhoof,41.34,53,0,3.65,54.02
337,Gobabis,84.2,12,92,6.93,-22.45
338,Coralville,50.0,70,1,6.93,41.68
339,Samut Songkhram,75.56,95,1,5.26,13.41
340,Miranda,96.51,31,70,6.78,-20.24
341,San Francisco,71.6,64,40,8.05,1.17
342,Arlit,90.14,13,0,4.59,18.74
343,Meulaboh,79.0,83,100,8.48,4.14
344,Mwinilunga,65.66,71,1,3.47,-11.73
345,Lita,54.12,93,100,3.33,27.36
346,Sterling,66.2,67,90,4.7,39.0
347,Makat,48.04,46,0,2.84,47.65
348,Cockburn Town,87.8,62,40,11.41,21.46
349,Muros,66.99,87,20,6.93,42.77
350,Shaowu,55.71,97,99,1.74,27.34
351,Namatanai,81.36,75,95,2.33,-3.66
352,Saint-Augustin,55.0,66,20,3.36,45.63
353,Yaan,73.24,91,91,3.13,7.38
354,San Jose,71.51,92,100,2.95,14.25
355,Champerico,77.0,69,75,16.11,16.38
356,Charters Towers,68.52,85,28,4.83,-20.07
357,Oranjemund,57.79,85,0,4.27,-28.55
358,Itoman,73.4,73,40,2.24,26.12
359,Neuquen,77.0,22,0,11.41,-38.95
360,Clyde River,28.4,92,75,12.75,70.47
361,Aracaju,82.4,69,40,12.75,-10.92
362,Keffi,75.2,83,40,3.36,8.85
363,Marsh Harbour,81.05,81,100,15.28,26.54
364,West Plains,54.0,100,90,6.93,36.73
365,Takoradi,78.15,86,76,10.2,4.89
366,La Paz,86.0,22,5,4.7,24.15
367,Puerto Suarez,104.0,40,40,13.87,-18.96
368,Alepe,80.6,94,20,6.93,5.5
369,Zhaotong,41.7,96,100,5.55,27.34
370,Loveland,77.0,15,1,16.11,40.4
371,Chapais,42.8,79,40,6.93,49.78
372,Guerrero Negro,90.18,10,0,7.25,27.97
373,Linxia,34.05,62,82,1.23,35.6
374,Padang,66.27,96,75,0.89,-0.92
375,Alamosa,53.6,39,1,3.36,37.47
376,Cooma,32.0,47,0,4.38,-36.24
377,Santiago,69.55,98,100,0.98,16.69
378,Jiaozuo,54.79,45,100,10.2,35.21
379,Jacareacanga,86.99,53,98,1.14,-6.22
380,Vangaindrano,72.34,97,96,2.1,-23.35
381,Leshukonskoye,26.17,85,97,9.42,64.9
382,Chaoyang,40.59,45,0,5.23,41.58
383,Sibolga,70.12,99,100,0.83,1.74
384,Tatarsk,41.56,89,100,15.9,55.22
385,Edson,30.2,58,75,24.16,53.59
386,Payo,68.61,79,100,2.24,-3.75
387,Beitbridge,88.9,23,34,14.88,-22.21
388,Auki,78.08,69,100,6.15,12.18
389,Mokhotlong,46.81,37,0,3.69,-29.29
390,Quang Ngai,78.31,82,3,8.61,15.12
391,Saldanha,57.96,58,70,3.04,41.42
392,Ginda,49.08,62,0,5.03,30.69
393,Senanga,79.3,40,34,4.21,-16.1
394,Egvekinot,8.53,70,0,9.51,66.32
395,Zhumadian,51.37,50,70,4.03,33.01
396,Burnie,46.99,89,61,13.13,-41.05
397,Mendi,63.84,94,99,3.33,9.8
398,Margate,48.0,70,20,8.05,-43.03
399,Fomboni,79.52,76,0,4.52,-12.28
400,Pitkyaranta,41.95,80,100,10.25,61.57
401,Manokwari,72.97,80,0,4.88,-0.87
402,Kisangani,69.4,97,100,1.57,0.52
403,Alexandria,43.0,94,0,3.8,43.97
404,Itarema,79.88,68,23,12.77,-2.92
405,Leninaul,46.04,88,0,3.38,43.09
406,Dawlatabad,59.63,52,100,1.59,36.41
407,Veraval,64.0,72,90,12.75,49.65
408,Champa,69.94,89,100,6.33,22.03
409,Porto Novo,78.8,61,40,21.92,-23.68
410,Klyuchi,44.02,81,100,11.03,52.25
411,Vargashi,45.5,82,100,17.36,55.36
412,Malanje,65.35,98,4,3.04,-9.54
413,Bukama,76.24,73,0,2.01,-9.2
414,Rawson,61.07,50,100,7.27,-43.3
415,Sisimiut,29.05,64,4,7.52,66.94
416,Akonolinga,69.26,99,100,2.73,3.77
417,Phan Thiet,71.83,90,73,3.0,10.93
418,Mitsamiouli,79.27,76,0,4.38,-11.38
419,Songjianghe,28.0,73,0,6.44,42.18
420,Erdenet,26.74,74,100,5.73,49.03
421,Kurchum,42.66,81,71,3.09,48.57
422,Ribeira Grande,66.2,82,40,5.82,38.52
423,Jinxiang,53.01,24,93,6.33,35.07
424,Eston,28.99,68,90,21.92,51.15
425,Kargil,27.36,51,4,2.1,34.56
426,Muroto,59.38,84,100,3.71,33.37
427,Nakusp,45.0,64,92,4.0,50.24
428,Pudozh,37.78,95,100,2.35,61.81
429,Turukhansk,13.59,92,98,9.66,65.8
430,Fuerte,71.13,83,96,5.53,17.54
431,Stokmarknes,37.0,68,18,5.99,68.56
432,Taoudenni,77.92,16,34,10.27,22.68
433,Fort Morgan,77.0,11,1,5.17,40.25
434,Iki-Burul,48.2,87,0,6.71,45.82
435,Banda Aceh,72.54,92,100,1.54,5.56
436,Vygonichi,48.54,87,100,10.98,53.1
437,Kontagora,74.59,81,100,2.33,10.4
438,Mokhsogollokh,12.54,95,1,4.12,61.4
439,Puerto Colombia,86.0,74,75,6.93,10.99
440,Lethem,93.85,39,98,6.38,3.38
441,Isla Vista,87.01,10,1,5.82,34.41
442,Marakkanam,81.32,71,100,8.37,12.2
443,Podgornoye,28.67,86,100,10.65,57.79
444,Nuuk,37.4,64,75,2.37,64.17
445,Chicama,66.2,72,20,11.41,-7.84
446,Wanning,54.0,100,75,1.12,48.64
447,Rehoboth,69.91,28,0,13.31,-23.31
448,Camopi,83.57,59,59,4.85,3.17
449,Hvide Sande,57.2,93,100,16.11,56.01
450,San Cristobal,78.13,72,60,0.13,14.68
451,Liverpool,46.99,81,20,13.87,53.41
452,Tawau,75.2,94,75,2.24,4.26
453,Novyy Urgal,23.45,85,0,0.83,51.07
454,Alyangula,73.4,94,100,4.32,-13.85
455,Pacific Grove,84.0,84,1,8.59,36.62
456,Inirida,80.02,92,100,2.84,3.87
457,Port Macquarie,64.99,93,40,10.31,-31.43
458,Leningradskiy,15.58,61,0,9.53,69.38
459,Omurtag,44.6,100,0,1.88,43.1
460,Golden,77.0,13,20,4.7,39.76
461,Masty,54.27,79,90,10.89,53.42
462,Kupang,77.85,74,28,7.72,-10.16
463,Buinsk,48.65,82,100,14.81,54.97
464,Verkhoyansk,-2.66,99,84,1.39,67.55
465,Coquimbo,60.8,67,20,17.22,-29.95
466,Avera,82.99,74,75,5.82,33.19
467,Lac du Bonnet,48.0,62,80,3.0,50.25
468,Butembo,61.34,90,67,3.22,0.12
469,Kovdor,16.97,97,98,5.61,67.56
470,Monchegorsk,26.01,86,85,7.31,67.94
471,Hovd,44.01,92,40,5.82,63.83
472,Nouadhibou,82.4,48,79,13.87,20.93
473,Yulara,68.0,28,73,10.29,-25.24
474,Locri,70.0,60,40,2.24,38.24
475,Biak,80.94,78,10,10.29,-0.91
476,Ivdel,39.99,88,54,7.14,60.7
477,Caramay,76.87,87,58,5.08,10.18
478,Nova Gradiska,52.0,93,0,2.24,45.26
479,San Ignacio,72.91,78,32,2.53,-5.15
480,Manggar,81.9,77,100,8.99,-2.88
481,Dospat,51.24,40,0,3.74,41.65
482,Tigil,24.93,73,93,3.98,57.8
483,Vostok,19.87,93,9,5.53,46.45
484,Karlshamn,57.2,100,100,8.05,56.17
485,Port Hedland,69.8,94,12,8.05,-20.31
486,Eyrarbakki,30.2,63,1,3.36,63.86
487,Shimoda,60.01,90,97,17.56,34.7
488,General Roca,77.0,22,0,11.41,-39.03
489,Salalah,80.6,78,99,3.36,17.01
490,Dongzhen,29.07,73,0,1.52,43.33
491,Awbari,75.97,27,0,9.17,26.59
492,Gulariya,66.56,81,0,3.22,28.2
493,Kaka,57.92,27,100,2.95,37.35
494,Darnah,72.21,74,0,13.24,32.77
495,Ulladulla,53.6,50,0,10.29,-35.36
496,Coro,82.36,81,3,19.08,11.41
497,Kailua,84.2,69,75,9.17,21.39
498,Solnechnyy,34.25,91,96,2.95,50.72
499,Mount Isa,80.6,14,4,14.99,-20.73
500,Mareeba,73.4,83,90,9.17,-16.99
501,Cheremshanka,49.96,87,56,12.73,47.9
502,Zirc,55.4,82,0,5.64,47.26
503,Telford,43.0,93,77,5.82,52.68
504,Codrington,66.99,88,10,4.7,-28.95
505,Abnub,73.4,56,0,11.41,27.27
506,Narsaq,30.2,58,75,1.12,60.91
507,Polunochnoye,39.27,92,14,6.51,60.87
508,Karasjok,10.4,92,0,1.12,69.47
509,Joao Pinheiro,82.17,51,81,2.35,-17.74
510,Puerto Leguizamo,83.86,71,48,1.92,-0.19
511,Puquio,51.4,48,67,12.8,-14.69
512,Arkhara,27.59,75,27,6.04,49.42
513,Opuwo,74.05,22,43,7.07,-18.06
514,Gisors,64.0,72,99,9.17,49.28
515,Bay City,50.0,66,1,5.82,43.59
516,Leh,25.09,40,0,1.81,34.16
517,Hami,40.59,27,0,6.24,42.84
518,Puerto Carreno,89.6,55,20,9.17,6.19
519,Igarka,12.49,93,100,14.79,67.47
520,Sao Domingos,81.28,53,100,3.58,-13.4
521,Hobyo,80.64,76,23,9.4,5.35
522,Ruwi,82.4,61,0,3.04,23.6
523,Uttarkashi,49.8,61,0,4.9,30.73
524,Oistins,86.0,66,40,12.75,13.07
525,Libreville,77.0,94,75,12.75,0.39
526,Bari,61.0,100,20,4.7,41.13
527,Quevedo,86.63,51,82,2.95,-1.02
528,Pandhana,69.31,98,96,3.87,21.73
529,Ternate,80.01,83,20,2.24,14.29
530,Ruteng,65.05,79,62,4.85,-8.61
531,Novokorsunskaya,51.01,87,0,2.24,45.64
532,Qaqortoq,30.2,58,75,1.12,60.72
533,Moron,82.62,71,50,3.6,18.56
534,Mardin,60.8,51,20,4.7,37.32
535,Grimma,62.6,82,62,10.29,51.24
536,Ondjiva,81.66,15,76,7.92,-17.07
537,Port-Cartier,44.01,80,75,9.17,50.03
538,Singaraja,80.26,66,86,10.02,-8.11
539,London,48.2,93,75,6.93,51.51
540,Escanaba,50.0,57,1,4.7,45.75
541,Vuktyl,34.97,97,81,12.03,63.86
542,Mehamn,23.95,78,100,2.84,71.03
543,Idukki,66.31,68,100,1.63,9.85
544,Parkes,48.99,59,0,5.17,-33.14
545,Krasnoyarka,41.0,80,100,13.42,55.33
546,Aripuana,88.83,52,97,2.39,-9.17
547,Morozovsk,52.54,64,0,6.02,48.35
548,Ouallam,90.75,26,92,9.08,14.32
549,Praia da Vitoria,64.4,100,40,11.03,38.73
550,Halifax,51.01,42,75,21.92,44.65
551,Sabha,75.2,30,38,6.13,27.03
552,Kitgum,69.73,76,14,2.98,3.3
553,Lamba,52.25,82,53,1.41,-3.57
554,Paamiut,35.55,52,100,5.97,61.99
555,Ugoofaaru,82.15,70,78,3.8,5.67
556,Dvinskoy,41.18,76,100,13.06,62.16
557,Ravar,58.6,53,26,6.11,31.27
558,Victor Harbor,57.2,58,75,10.29,-35.55
559,Puerto Escondido,84.2,74,75,8.05,15.86
560,Husavik,48.0,62,100,3.0,50.56
561,Juneau,41.0,93,90,4.7,58.3
562,Lubumbashi,71.69,40,23,4.36,-11.66
